2019-07-18 10:14:55.395 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/bpc-am-service/getYsdw],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BPCPermissionOrderController.getYsdw()
2019-07-18 10:14:55.397 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/order],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.order(com.bgy.ofa.sapformservice.entity.dto.BSPOrderDTO)
2019-07-18 10:14:55.398 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/mark]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.mark(java.lang.String,java.lang.String)
2019-07-18 10:14:55.398 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/getSelectedFormId],methods=[GET]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.getSelectedFormId()
2019-07-18 10:14:55.398 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/getLogisticsByDocumentNo]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.getLogisticsByDocumentNo(java.lang.String)
2019-07-18 10:14:55.398 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/cancelOrder/{mailno}]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.cancelOrder(java.lang.String)
2019-07-18 10:14:55.398 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/saveAddress],methods=[POST]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.saveAddress(com.bgy.ofa.sapformservice.entity.dto.BSPAddressDTO)
2019-07-18 10:14:55.399 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/unmark]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.unmark(java.lang.String)
2019-07-18 10:14:55.399 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/waybillRoute/{orderId}]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.getWaybillRoute(java.lang.String)
2019-07-18 10:14:55.399 [main] INFO  RequestMappingHandlerMapping - Mapped "{[/sapform/bsp/logisticsInfo]}" onto public com.bgy.ofa.utils.apiresult.AbstractApiResult com.bgy.ofa.sapformservice.controller.BSPController.logisticsInfo(java.lang.String)
